Timestamp,Location Identifier,Total Flow
8/1/2013 0:00,200,14959
8/1/2013 0:00,201,4171
8/1/2013 0:00,300,8089
8/1/2013 0:00,301,770
8/1/2013 0:00,500,14682
8/1/2013 0:00,501,3110
8/1/2013 0:00,700,3712
8/1/2013 0:00,701,13079
8/1/2013 0:00,900,0
8/1/2013 0:00,901,0
8/1/2013 0:00,1100,9603
8/1/2013 0:00,1101,7039
8/1/2013 0:00,1600,703
8/1/2013 0:00,1601,459
8/1/2013 0:00,2500,1846
8/1/2013 0:00,2501,4629
8/1/2013 0:00,3100,2825
8/1/2013 0:00,3101,13066
8/1/2013 0:00,3400,9277
8/1/2013 0:00,3401,13083
8/1/2013 0:00,3501,18071
8/1/2013 0:00,3502,1965
8/1/2013 0:00,3700,5311
8/1/2013 0:00,3701,4375
8/1/2013 0:00,4100,4335
8/1/2013 0:00,4201,2830
8/1/2013 0:00,4300,5995
8/1/2013 0:00,4301,3587
8/1/2013 0:00,4600,10023
8/1/2013 0:00,4601,5754
8/1/2013 0:00,4800,0
8/1/2013 0:00,4801,0
8/1/2013 0:00,5001,0
8/1/2013 0:00,5100,0
8/1/2013 0:00,5200,5117
8/1/2013 0:00,5201,17170
8/1/2013 0:00,5300,468
8/1/2013 0:00,5301,4160
8/1/2013 0:00,6000,1352
8/1/2013 0:00,6001,8871
8/1/2013 0:00,6700,0
8/1/2013 0:00,6701,0
8/1/2013 0:00,8000,6984
8/1/2013 0:00,8001,10389
8/1/2013 0:00,8101,2059
8/1/2013 0:00,8200,10962
8/1/2013 0:00,8300,2915
8/1/2013 0:00,8301,3646
8/1/2013 0:00,8500,2267
8/1/2013 0:00,8501,5757
8/1/2013 0:00,8600,6250
8/1/2013 0:00,8601,4564
8/1/2013 0:00,10101,0
8/1/2013 0:00,10200,0
8/1/2013 0:00,10400,0
8/1/2013 0:00,10401,0
8/1/2013 0:00,11000,5209
8/1/2013 0:00,11001,1439
8/1/2013 0:00,11100,2361
8/1/2013 0:00,11101,10656
8/1/2013 0:00,11200,9294
8/1/2013 0:00,12000,4052
8/1/2013 0:00,12001,1074
8/1/2013 0:00,12700,0
8/1/2013 0:00,12701,0
8/1/2013 0:00,12800,0
8/1/2013 0:00,12801,0
8/1/2013 0:00,13000,4544
8/1/2013 0:00,13001,7434
8/1/2013 0:00,13100,0
8/1/2013 0:00,13101,0
8/1/2013 0:00,13200,13143
8/1/2013 0:00,13301,556
8/1/2013 0:00,13400,0
8/1/2013 0:00,13501,0
8/1/2013 0:00,13600,3428
8/1/2013 0:00,13601,866
8/1/2013 0:00,14000,0
8/1/2013 0:00,14001,0
8/1/2013 0:00,14100,6283
8/1/2013 0:00,14101,1354
8/1/2013 0:00,14200,2406
8/1/2013 0:00,14201,7903
8/1/2013 0:00,14800,0
8/1/2013 0:00,14801,0
8/1/2013 0:00,14901,0
8/1/2013 0:00,15000,0
8/1/2013 0:00,15001,0
8/1/2013 0:00,15500,2110
8/1/2013 0:00,15501,1910
8/1/2013 0:00,15600,5369
8/1/2013 0:00,15601,4768
8/1/2013 0:00,15900,11127
8/1/2013 0:00,15901,12330
8/1/2013 0:00,16100,987
8/1/2013 0:00,16101,2506
8/1/2013 0:00,16200,0
8/1/2013 0:00,16900,0
8/1/2013 0:00,16901,0
8/1/2013 0:00,17000,0
8/1/2013 0:00,17300,7287
8/1/2013 0:00,17401,6984
8/1/2013 0:00,17500,4071
8/1/2013 0:00,17600,0
8/1/2013 0:00,17601,0
8/1/2013 0:00,17700,0
8/1/2013 0:00,17701,0
8/1/2013 0:00,17800,5575
8/1/2013 0:00,17801,3168
8/1/2013 0:00,17900,0
8/1/2013 0:00,17901,0
8/1/2013 0:00,18000,1897
8/1/2013 0:00,18001,0
8/1/2013 0:00,18200,2221
8/1/2013 0:00,18201,700
8/1/2013 0:00,18300,3078
8/1/2013 0:00,18301,1765
8/1/2013 0:00,18400,0
8/1/2013 0:00,18401,0
8/1/2013 0:00,18700,0
