Timestamp,Location Identifier,Total Flow
1/1/2013 0:00,200,10724
1/1/2013 0:00,201,4165
1/1/2013 0:00,300,1048
1/1/2013 0:00,301,1
1/1/2013 0:00,500,7960
1/1/2013 0:00,501,1964
1/1/2013 0:00,700,2745
1/1/2013 0:00,701,8714
1/1/2013 0:00,900,0
1/1/2013 0:00,901,0
1/1/2013 0:00,1100,1541
1/1/2013 0:00,1101,1032
1/1/2013 0:00,1600,4765
1/1/2013 0:00,1601,4786
1/1/2013 0:00,2500,34
1/1/2013 0:00,2501,759
1/1/2013 0:00,3100,2458
1/1/2013 0:00,3101,8931
1/1/2013 0:00,3400,6638
1/1/2013 0:00,3401,9611
1/1/2013 0:00,3501,14204
1/1/2013 0:00,3502,676
1/1/2013 0:00,3700,4179
1/1/2013 0:00,3701,2517
1/1/2013 0:00,4100,1711
1/1/2013 0:00,4201,1669
1/1/2013 0:00,4300,2566
1/1/2013 0:00,4301,2063
1/1/2013 0:00,4600,5498
1/1/2013 0:00,4601,3803
1/1/2013 0:00,4800,0
1/1/2013 0:00,4801,0
1/1/2013 0:00,5001,0
1/1/2013 0:00,5100,0
1/1/2013 0:00,5200,3689
1/1/2013 0:00,5201,12798
1/1/2013 0:00,5300,217
1/1/2013 0:00,5301,3000
1/1/2013 0:00,6000,805
1/1/2013 0:00,6001,5182
1/1/2013 0:00,6700,8469
1/1/2013 0:00,6701,3637
1/1/2013 0:00,8000,3143
1/1/2013 0:00,8001,4960
1/1/2013 0:00,8101,1334
1/1/2013 0:00,8200,5641
1/1/2013 0:00,8300,0
1/1/2013 0:00,8301,0
1/1/2013 0:00,8500,406
1/1/2013 0:00,8501,1567
1/1/2013 0:00,8600,3488
1/1/2013 0:00,8601,2341
1/1/2013 0:00,10101,0
1/1/2013 0:00,10200,0
1/1/2013 0:00,10400,0
1/1/2013 0:00,10401,0
1/1/2013 0:00,11000,3108
1/1/2013 0:00,11001,1952
1/1/2013 0:00,11100,1719
1/1/2013 0:00,11101,7875
1/1/2013 0:00,11200,5862
1/1/2013 0:00,12000,1941
1/1/2013 0:00,12001,842
1/1/2013 0:00,12700,0
1/1/2013 0:00,12701,0
1/1/2013 0:00,12800,0
1/1/2013 0:00,12801,0
1/1/2013 0:00,13000,2817
1/1/2013 0:00,13001,4591
1/1/2013 0:00,13100,0
1/1/2013 0:00,13101,0
1/1/2013 0:00,13200,6373
1/1/2013 0:00,13301,585
1/1/2013 0:00,13400,2911
1/1/2013 0:00,13501,3555
1/1/2013 0:00,13600,1604
1/1/2013 0:00,13601,1327
1/1/2013 0:00,14000,1783
1/1/2013 0:00,14001,1056
1/1/2013 0:00,14100,4642
1/1/2013 0:00,14101,1116
1/1/2013 0:00,14200,1419
1/1/2013 0:00,14201,4897
1/1/2013 0:00,14800,0
1/1/2013 0:00,14801,0
1/1/2013 0:00,14901,0
1/1/2013 0:00,15000,0
1/1/2013 0:00,15001,0
1/1/2013 0:00,15500,940
1/1/2013 0:00,15501,1021
1/1/2013 0:00,15600,3193
1/1/2013 0:00,15601,2279
1/1/2013 0:00,15900,6022
1/1/2013 0:00,15901,7365
1/1/2013 0:00,16100,304
1/1/2013 0:00,16101,746
1/1/2013 0:00,16200,0
1/1/2013 0:00,16900,0
1/1/2013 0:00,16901,0
1/1/2013 0:00,17000,0
1/1/2013 0:00,17300,8052
1/1/2013 0:00,17401,3677
1/1/2013 0:00,17500,2638
1/1/2013 0:00,17600,0
1/1/2013 0:00,17601,0
1/1/2013 0:00,17700,0
1/1/2013 0:00,17701,0
1/1/2013 0:00,17800,2457
1/1/2013 0:00,17801,1438
1/1/2013 0:00,17900,125
1/1/2013 0:00,17901,431
1/1/2013 0:00,18000,844
1/1/2013 0:00,18001,0
1/1/2013 0:00,18200,1266
1/1/2013 0:00,18201,646
1/1/2013 0:00,18300,0
1/1/2013 0:00,18301,0
1/1/2013 0:00,18400,0
1/1/2013 0:00,18401,0
1/1/2013 0:00,18700,0
1/1/2013 0:00,18701,0
1/1/2013 0:00,18801,0
1/1/2013 0:00,20100,2630
1/1/2013 0:00,20101,3007
1/1/2013 0:00,20200,2973
1/1/2013 0:00,20201,3409
1/1/2013 0:00,20300,2167
1/1/2013 0:00,20301,2182
1/1/2013 0:00,20400,0
1/1/2013 0:00,20401,0
1/1/2013 0:00,20500,0
1/1/2013 0:00,20501,0
1/1/2013 0:00,20600,690
1/1/2013 0:00,20801,937
1/1/2013 0:00,21200,1807
1/1/2013 0:00,21201,7882
1/1/2013 0:00,21300,7165
1/1/2013 0:00,21301,3559
1/1/2013 0:00,22100,578
1/1/2013 0:00,22101,591
1/1/2013 0:00,22103,110
1/1/2013 0:00,22200,710
1/1/2013 0:00,22201,898
1/1/2013 0:00,22400,0
1/1/2013 0:00,22401,0
1/1/2013 0:00,24000,4041
1/1/2013 0:00,24001,5546
1/1/2013 0:00,24200,4380
1/1/2013 0:00,24201,1109
1/1/2013 0:00,24700,2544
1/1/2013 0:00,24701,127
1/1/2013 0:00,24800,0
1/1/2013 0:00,24901,6984
1/2/2013 0:00,200,15800
1/2/2013 0:00,201,5481
1/2/2013 0:00,300,1396
1/2/2013 0:00,301,6
1/2/2013 0:00,500,15922
1/2/2013 0:00,501,3978
1/2/2013 0:00,700,3856
1/2/2013 0:00,701,13439
1/2/2013 0:00,900,0
1/2/2013 0:00,901,0
1/2/2013 0:00,1100,1980
1/2/2013 0:00,1101,1144
1/2/2013 0:00,1600,8623
1/2/2013 0:00,1601,6068
1/2/2013 0:00,2500,69
1/2/2013 0:00,2501,1018
1/2/2013 0:00,3100,3361
1/2/2013 0:00,3101,13998
1/2/2013 0:00,3400,10139
1/2/2013 0:00,3401,14766
1/2/2013 0:00,3501,20837
1/2/2013 0:00,3502,1974
1/2/2013 0:00,3700,5953
1/2/2013 0:00,3701,4453
1/2/2013 0:00,4100,4018
1/2/2013 0:00,4201,2719
1/2/2013 0:00,4300,5431
1/2/2013 0:00,4301,3591
1/2/2013 0:00,4600,11011
1/2/2013 0:00,4601,6434
1/2/2013 0:00,4800,0
1/2/2013 0:00,4801,0
1/2/2013 0:00,5001,0
1/2/2013 0:00,5100,0
1/2/2013 0:00,5200,6123
1/2/2013 0:00,5201,18043
1/2/2013 0:00,5300,716
1/2/2013 0:00,5301,5025
1/2/2013 0:00,6000,1522
1/2/2013 0:00,6001,9390
1/2/2013 0:00,6700,12246
1/2/2013 0:00,6701,5331
1/2/2013 0:00,8000,7135
1/2/2013 0:00,8001,10981
1/2/2013 0:00,8101,2812
1/2/2013 0:00,8200,11379
1/2/2013 0:00,8300,0
1/2/2013 0:00,8301,0
1/2/2013 0:00,8500,1541
1/2/2013 0:00,8501,5110
1/2/2013 0:00,8600,7056
1/2/2013 0:00,8601,5062
1/2/2013 0:00,10101,0
1/2/2013 0:00,10200,0
1/2/2013 0:00,10400,0
1/2/2013 0:00,10401,0
1/2/2013 0:00,11000,5104
1/2/2013 0:00,11001,2146
1/2/2013 0:00,11100,2818
1/2/2013 0:00,11101,11857
1/2/2013 0:00,11200,9378
1/2/2013 0:00,12000,3925
1/2/2013 0:00,12001,1508
1/2/2013 0:00,12700,0
1/2/2013 0:00,12701,0
1/2/2013 0:00,12800,0
1/2/2013 0:00,12801,0
1/2/2013 0:00,13000,4680
1/2/2013 0:00,13001,7632
1/2/2013 0:00,13100,0
1/2/2013 0:00,13101,0
1/2/2013 0:00,13200,13294
1/2/2013 0:00,13301,994
1/2/2013 0:00,13400,6742
1/2/2013 0:00,13501,6444
1/2/2013 0:00,13600,3889
1/2/2013 0:00,13601,1698
1/2/2013 0:00,14000,4412
1/2/2013 0:00,14001,3207
1/2/2013 0:00,14100,6869
1/2/2013 0:00,14101,1903
1/2/2013 0:00,14200,2463
1/2/2013 0:00,14201,7747
1/2/2013 0:00,14800,0
1/2/2013 0:00,14801,0
1/2/2013 0:00,14901,0
1/2/2013 0:00,15000,0
1/2/2013 0:00,15001,0
1/2/2013 0:00,15500,2167
