ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
311831,5,S,3,67,,10.896,506.189,38.409782,-121.48412,,OR,1,Elk Grove Blvd,1,,,
311832,5,S,3,67,,10.896,506.189,38.409782,-121.48412,,FR,1,Elk Grove Blvd,1,,,
311844,5,N,3,67,,11.08,506.373,38.412421,-121.484289,,OR,3,WB Elk Grove Blvd,1,,,
311847,5,N,3,67,,12.178,507.471,38.428157,-121.487557,,OR,3,Laguna Blvd,1,,,
311864,5,N,3,67,,12.178,507.471,38.428157,-121.487557,,OR,1,Laguna Blvd,1,,,
311903,50,E,3,67,64000,L1.751,4.907,38.561666,-121.486366,0.28,ML,3,6th St,1,,,
311930,50,E,3,67,64000,L1.751,4.907,38.561666,-121.486366,,FF,3,FF 5N/SB -> 50EB,1,,,
311973,50,E,3,67,64000,L1.22,4.376,38.564153,-121.495585,,OR,2,13th St,1,,,
311974,50,E,3,67,64000,L1.22,4.376,38.564153,-121.495585,1.349,ML,5,15th St,1,,,
312009,50,E,3,67,64000,L1.22,4.376,38.564153,-121.495585,,FR,2,15th St,1,,,
312010,50,W,3,67,64000,L1.345,4.501,38.563816,-121.493316,2.161,ML,5,15th St,1,,,
312011,50,W,3,67,64000,L1.345,4.501,38.563816,-121.493316,,OR,2,15th St,1,,,
312012,50,W,3,67,64000,L1.345,4.501,38.563816,-121.493316,,OR,1,10th St,1,,,
312098,50,E,3,67,64000,L2.34,5.496,38.55902,-121.476106,0.483,ML,4,28th St,1,,,
312099,50,E,3,67,64000,L2.34,5.496,38.55902,-121.476106,,OR,1,28th St,1,,,
312103,50,W,3,67,64000,R0.587,6.221,38.560995,-121.462999,0.954,ML,4,Stockton Blvd,1,,,
312104,50,W,3,67,64000,R0.587,6.221,38.560995,-121.462999,,OR,1,Stockton Blvd,1,,,
312105,50,W,3,67,64000,R0.587,6.221,38.560995,-121.462999,,OR,2,Stockton Blvd,1,,,
312108,50,W,3,67,64000,L2.34,5.496,38.559248,-121.476019,,FR,1,26th St,1,,,
312132,5,S,3,67,,10.896,506.189,38.409782,-121.48412,1.34,ML,2,Elk Grove Blvd,1,,,
312133,5,N,3,67,,12.178,507.471,38.428157,-121.487557,0.823,ML,3,Laguna Blvd,1,,,
312134,5,N,3,67,,11.08,506.373,38.412421,-121.484289,1.34,ML,2,Elk Grove Blvd,1,,,
312139,50,E,3,67,64000,L1.566,4.722,38.562537,-121.489577,0.265,ML,5,16th St,1,,,
312141,50,E,3,67,64000,L1.566,4.722,38.562537,-121.489577,,OR,2,16th St,1,,,
